"id","number","identifier","name","alias","party","votes","state_name","state_uf","state_votes"
272,1500,140001621345,"OLIVAL HENRIQUE MARQUES DE SOUZA","OLIVAL MARQUES","MDB",102435,"PARÁ","PA",4521516
282,1818,170001619597,"TÚLIO GADELHA SALES DE MELO","TÚLIO GADELHA","REDE",134391,"PERNAMBUCO","PE",4969863
294,4019,170001619889,"GUILHERME ARISTOTELES UCHOA CAVALCANTI PESSOA DE MELO JUNIOR","GUILHERME UCHOA JUNIOR","PSB",84592,"PERNAMBUCO","PE",4969863
304,1311,180001610756,"REJANE RIBEIRO SOUSA DIAS","REJANE DIAS","PT",125774,"PIAUÍ","PI",1957483
315,2269,190001596785,"ALTINEU CORTES FREITAS COUTINHO","ALTINEU CORTES","PL",167512,"RIO DE JANEIRO","RJ",8571572
328,5588,190001603437,"DANIEL RICARDO SORANZ PINTO","DANIEL SORANZ","PSD",98784,"RIO DE JANEIRO","RJ",8571572
336,1033,190001644815,"ROSANGELA DE SOUZA GOMES","ROSANGELA GOMES","REPUBLICANOS",76292,"RIO DE JANEIRO","RJ",8571572
347,2214,190001596798,"CHRISTINE NOGUEIRA DOS REIS TONIETTO","CHRIS TONIETTO","PL",52583,"RIO DE JANEIRO","RJ",8571572
355,1333,190001619218,"REIMONT LUIZ OTONI SANTA BÁRBARA","REIMONT","PT",39325,"RIO DE JANEIRO","RJ",8571572
365,1355,210001604643,"DIONILSO MATEUS MARCON","MARCON","PT",129352,"RIO GRANDE DO SUL","RS",6149822
372,1522,210001647859,"OSMAR GASPARINI TERRA","OSMAR TERRA","MDB",103245,"RIO GRANDE DO SUL","RS",6149822
384,1200,210001621256,"AFONSO ANTUNES DA MOTTA","AFONSO MOTTA","PDT",70307,"RIO GRANDE DO SUL","RS",6149822
396,1011,230001600111,"JOHNATHAN PEREIRA DE JESUS","JHONATAN DE JESUS","REPUBLICANOS",19881,"RORAIMA","RR",291505
406,2222,240001610977,"JORGE GOETTEN DE LIMA","JORGE GOETTEN","PL",159339,"SANTA CATARINA","SC",3969848
415,1570,240001602683,"CARLOS ALBERTO CHIODINI","CARLOS CHIODINI","MDB",80089,"SANTA CATARINA","SC",3969848
427,1022,260001618173,"ANDRE DAVID CALDAS ROSA RODRIGUES","DELEGADO ANDRE DAVID","REPUBLICANOS",31597,"SERGIPE","SE",1125093
438,2290,250001611359,"GUILHERME MURARO DERRITE","CAPITÃO DERRITE","PL",239772,"SÃO PAULO","SP",23286943
448,1313,250001610672,"RUI GOETHE DA COSTA FALCÃO","RUI FALCÃO","PT",193990,"SÃO PAULO","SP",23286943
455,2200,250001611357,"JOSÉ AUGUSTO ROSA","CAPITÃO AUGUSTO","PL",168740,"SÃO PAULO","SP",23286943
467,1910,250001610270,"BRUNO AREVALO GANEM","BRUNO GANEM","PODE",141595,"SÃO PAULO","SP",23286943
476,5021,250001613809,"LUIZA ERUNDINA DE SOUSA","LUIZA ERUNDINA","PSOL",113983,"SÃO PAULO","SP",23286943
489,1022,250001611846,"MARIA DO PARTO MENDES ROSAS","MARIA ROSAS","REPUBLICANOS",94787,"SÃO PAULO","SP",23286943
499,1111,270001643407,"VICENTE ALVES DE OLIVEIRA JUNIOR","VICENTINHO JUNIOR","PP",55292,"TOCANTINS","TO",830140
69,4422,50001634584,"JOSÉ ALVES ROCHA","JOSÉ ROCHA","UNIÃO",78833,"BAHIA","BA",7958431
80,5555,60001601183,"DOMINGOS GOMES DE AGUIAR NETO","DOMINGOS NETO","PSD",175074,"CEARÁ","CE",5108239
91,4447,60001608893,"FRANCISCO DANILO BASTOS FORTE","DANILO FORTE","UNIÃO",88470,"CEARÁ","CE",5108239
102,1015,70001615669,"GILVAM MAXIMO","GILVAN MAXIMO","REPUBLICANOS",20923,"DISTRITO FEDERAL","DF",1607519
110,1300,80001719422,"JACKELINE OLIVEIRA ROCHA","JACK ROCHA","PT",51317,"ESPÍRITO SANTO","ES",2084430
118,1331,90001648110,"ADRIANA SAUTHIER ACCORSI","DELEGADA ADRIANA ACCORSI","PT",96714,"GOIÁS","GO",3440515
128,5500,90001651581,"ISMAEL ALEXANDRINO JUNIOR","DR ISMAEL ALEXANDRINO ","PSD",54791,"GOIÁS","GO",3440515
138,1100,100001608073,"AMANDA KELLY GENTIL GUIMARÃES ROSA","AMANDA GENTIL ","PP",108699,"MARANHÃO","MA",3706498
147,1212,100001601143,"MARCIO JOSE HONAISER","MÁRCIO HONAISER","PDT",54547,"MARANHÃO","MA",3706498
157,4545,120001612323,"HUMBERTO REZENDE PEREIRA","BETO PEREIRA","PSDB",97872,"MATO GROSSO DO SUL","MS",1356862
167,1312,130001607277,"REGINALDO LÁZARO DE OLIVEIRA LOPES","REGINALDO LOPES","PT",196760,"MINAS GERAIS","MG",11181098
177,9090,130001607568,"WELITON FERNANDES PRADO","WELITON PRADO","PROS",126214,"MINAS GERAIS","MG",11181098
188,7077,130001603602,"BRUNO SOUZA FARIAS","BRUNO FARIAS","AVANTE",97246,"MINAS GERAIS","MG",11181098
200,2210,130001611021,"MAURICIO LUIZ DE SOUZA","MAURICIO DO VOLEI","PL",83396,"MINAS GERAIS","MG",11181098
207,1234,130001606709,"MÁRIO LÚCIO HERINGER","DR MÁRIO HERINGER","PDT",68717,"MINAS GERAIS","MG",11181098
218,1313,160001614512,"GLEISI HELENA HOFFMANN","GLEISI","PT",261247,"PARANÁ","PR",6038588
228,1199,160001603306,"SEBASTIÃO HENRIQUE DE MEDEIROS","TIÃO MEDEIROS","PP",109344,"PARANÁ","PR",6038588
240,5522,160001622293,"LUIZ HILOSHI NISHIMORI","LUIZ NISHIMORI","PSD",73202,"PARANÁ","PR",6038588
246,4433,160001654666,"NELSON FERNANDO PADOVANI","PADOVANI","UNIÃO",57185,"PARANÁ","PR",6038588
258,1312,150001619538,"LUIZ ALBUQUERQUE COUTO","LUIZ COUTO","PT",54851,"PARAÍBA","PB",2190544
265,1313,140001620897,"DILVANDA FURTADO FARO","DILVANDA FARO","PT",150065,"PARÁ","PA",4521516
277,1122,170001618605,"ERICA CLARISSA BORBA CORDEIRO DE MOURA","CLARISSA TÉRCIO","PP",240511,"PERNAMBUCO","PE",4969863
286,7713,170001610574,"MARIA LEAL ARRAES DE ALENCAR","MARIA ARRAES","SOLIDARIEDADE",104571,"PERNAMBUCO","PE",4969863
297,4433,170001609111,"JOSÉ MENDONÇA BEZERRA FILHO","MENDONÇA FILHO","UNIÃO",76022,"PERNAMBUCO","PE",4969863
307,1312,180001610759,"FLAVIO RODRIGUES NOGUEIRA","FLAVIO NOGUEIRA","PT",100151,"PIAUÍ","PI",1957483
316,5000,190001600488,"TARCÍSIO MOTTA DE CARVALHO","TARCÍSIO MOTTA","PSOL",159928,"RIO DE JANEIRO","RJ",8571572
324,1377,190001619202,"BENEDITA SOUZA DA SILVA SAMPAIO","BENEDITA DA SILVA","PT",113831,"RIO DE JANEIRO","RJ",8571572
333,5080,190001600475,"GLAUBER DE MEDEIROS BRAGA","GLAUBER","PSOL",78048,"RIO DE JANEIRO","RJ",8571572
346,5033,190001600477,"HENRIQUE DOS SANTOS VIEIRA LIMA","PASTOR HENRIQUE VIEIRA","PSOL",53933,"RIO DE JANEIRO","RJ",8571572
353,1301,190001619193,"DIMAS DE PAIVA GADELHA JUNIOR","DIMAS GADELHA","PT",41238,"RIO DE JANEIRO","RJ",8571572
362,1370,210001604650,"MARIA DO ROSÁRIO NUNES","MARIA DO ROSÁRIO","PT",151050,"RIO GRANDE DO SUL","RS",6149822
376,5501,210001613990,"DANRLEI DE DEUS HINTERHOLZ","DANRLEI DE DEUS GOLEIRO","PSD",97824,"RIO GRANDE DO SUL","RS",6149822
382,4012,210001596984,"HEITOR JOSÉ SCHUCH","HEITOR SCHUCH","PSB",77616,"RIO GRANDE DO SUL","RS",6149822
